com.samsung.shealth.tracker.pedometer_step_count,6305105,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
28616,4,0,32,2025-09-14 21:50:00.000,,,2025-09-14 21:55:01.258,2025-09-14 21:55:01.258,32,1.3611112,38.95,2.27,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 21:51:00.000,6d5c5b6b-0160-4f18-89e7-8e4e7f43861c,
9573,4,0,19,2025-09-14 21:51:00.000,,,2025-09-14 21:55:01.269,2025-09-14 21:55:01.269,19,1.5,14.36,0.61,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 21:52:00.000,8041edc3-219f-4cc5-bf24-b284ee89b144,
10755,4,0,17,2025-09-14 21:53:00.000,,,2025-09-14 21:55:01.284,2025-09-14 21:55:01.284,17,1.3611112,14.64,0.73,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 21:54:00.000,3f1e7b08-b563-4e29-b137-1d01ff1f45a0,
5835,4,3,7,2025-09-14 21:55:00.000,,,2025-09-14 22:15:01.054,2025-09-14 22:15:01.054,10,3.5555556,20.75,1.28,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 21:56:00.000,63b12d71-d869-4b80-9694-b0ee83482994,
36500,4,2,61,2025-09-14 21:58:00.000,,,2025-09-14 22:15:01.064,2025-09-14 22:15:01.064,63,1.5,54.75,2.49,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 21:59:00.000,787acd02-0bea-4567-b633-7140c0e6a680,
31587,4,0,47,2025-09-14 22:00:00.000,,,2025-09-14 22:15:01.075,2025-09-14 22:15:01.075,47,1.0833334,34.22,1.43,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 22:01:00.000,bf8b43cb-e253-430e-a164-0abf3a0f759d,
14736,4,3,28,2025-09-14 22:01:00.000,,,2025-09-14 22:15:01.085,2025-09-14 22:15:01.085,31,1.6944444,24.97,1.13,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 22:02:00.000,8e4238eb-3951-4953-b53a-559cc21a9d8d,
51428,4,0,67,2025-09-14 22:02:00.000,,,2025-09-14 22:15:01.095,2025-09-14 22:15:01.095,67,1.1666666,60.0,2.87,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 22:03:00.000,b7f132c9-9876-413f-962d-dd4bb3a69b46,
36216,4,2,49,2025-09-14 22:03:00.000,,,2025-09-14 22:15:01.104,2025-09-14 22:15:01.104,51,1.3888888,50.3,2.61,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 22:04:00.000,f501bb0e-e9c4-48b9-a2dc-8e1a7820ac41,
5400,4,0,10,2025-09-14 22:04:00.000,,,2025-09-14 22:15:01.113,2025-09-14 22:15:01.113,10,1.4444444,7.8,0.31,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 22:05:00.000,7110edc6-af16-4997-a0a3-aa9692ee1cda,
11448,4,0,19,2025-09-14 22:06:00.000,,,2025-09-14 22:15:01.124,2025-09-14 22:15:01.124,19,1.25,14.31,0.61,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 22:07:00.000,2732217b-7f03-4bbc-9f4f-073b44b6e976,
15978,4,0,30,2025-09-15 01:28:00.000,,,2025-09-15 01:35:01.589,2025-09-15 01:35:01.589,30,1.4444444,23.08,0.93,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-15 01:29:00.000,9d87263f-3bd0-450d-b1d2-504d11346029,
36376,4,0,60,2025-09-15 01:29:00.000,,,2025-09-15 01:35:01.603,2025-09-15 01:35:01.603,60,1.2222222,44.46,1.85,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-15 01:30:00.000,e4ae92f4-a58c-45f9-bb98-8e37e40a3c3c,
12540,4,0,20,2025-09-15 01:30:00.000,,,2025-09-15 01:35:01.610,2025-09-15 01:35:01.610,20,1.1666666,14.63,0.65,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-15 01:31:00.000,3649e218-3cc9-45cd-b798-1bcb9e9934e5,
