com.samsung.shealth.stand_day_summary,6305105,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,50304,,2020-05-30 21:59:24.255,2020-05-30 05:00:04.142,BfdGMJKwGJ,com.sec.android.app.shealth,b6940d30-baab-c875-f3ae-91e8e67b4d00,1590796800000,
,1086024,,2020-06-02 03:58:15.216,2020-06-01 09:16:50.013,BfdGMJKwGJ,com.sec.android.app.shealth,4f4c7227-6b2d-74f5-bab3-a22cd1cd3273,1590969600000,
,9703424,,2020-06-03 05:42:08.221,2020-06-02 07:00:15.931,BfdGMJKwGJ,com.sec.android.app.shealth,65f50ceb-4354-5e65-36d3-5b406a195403,1591056000000,
,0,,2020-06-03 06:00:04.356,2020-06-03 06:00:04.356,BfdGMJKwGJ,com.sec.android.app.shealth,aa82abd6-38b8-ec40-e5e8-6e151b718775,1591142400000,
,5242880,,2020-06-11 03:14:53.269,2020-06-10 12:48:31.349,BfdGMJKwGJ,com.sec.android.app.shealth,82cc7d21-41ad-ec5b-71d6-d5ac07e612bd,1591747200000,
,2105353,,2020-06-12 03:11:42.259,2020-06-11 05:00:04.039,BfdGMJKwGJ,com.sec.android.app.shealth,5e4175f8-323f-6425-5d74-e9b39ce05e4a,1591833600000,
,1,,2020-06-12 06:15:38.441,2020-06-12 06:00:04.564,BfdGMJKwGJ,com.sec.android.app.shealth,cb7e043a-96b0-1ede-aade-e80cfc05a77b,1591920000000,
,0,,2020-06-13 05:00:06.872,2020-06-13 05:00:06.872,BfdGMJKwGJ,com.sec.android.app.shealth,5e65a5d1-bb49-4c89-d07e-9ca1d8fca7c4,1592006400000,
,0,,2020-06-15 03:22:26.773,2020-06-15 03:22:26.773,BfdGMJKwGJ,com.sec.android.app.shealth,272ec1f5-2e6f-1620-9246-42a833aac05e,1592092800000,
,609280,,2020-06-16 01:44:56.274,2020-06-15 05:00:04.288,BfdGMJKwGJ,com.sec.android.app.shealth,898ac5b0-e842-4b09-67cf-595950f583cb,1592179200000,
,854304,,2020-06-17 02:59:10.425,2020-06-16 06:00:09.595,BfdGMJKwGJ,com.sec.android.app.shealth,f7a3542e-9a08-d16e-6478-739cb5e06377,1592265600000,
,13066,,2020-06-17 20:42:09.702,2020-06-17 07:00:24.140,BfdGMJKwGJ,com.sec.android.app.shealth,df6a8f01-ea29-4159-544f-fa2540be16d1,1592352000000,
,0,,2020-06-19 03:53:08.200,2020-06-18 06:00:05.858,BfdGMJKwGJ,com.sec.android.app.shealth,f03b9ca7-46f7-c33f-52bf-204399c3af2d,1592438400000,
,5251656,,2020-06-22 03:09:03.530,2020-06-21 06:57:47.441,BfdGMJKwGJ,com.sec.android.app.shealth,b9fcdd20-849f-2f67-942a-017044c08830,1592697600000,
,8705,,2020-06-22 18:50:58.553,2020-06-22 05:00:07.064,BfdGMJKwGJ,com.sec.android.app.shealth,2c6995fd-b0ac-59d4-1c1e-713c07da2171,1592784000000,
,37888,,2020-06-23 20:47:04.321,2020-06-23 09:23:53.262,BfdGMJKwGJ,com.sec.android.app.shealth,d269668e-ff4f-9fa8-667e-88a8f044b730,1592870400000,
,65,,2020-06-24 11:30:22.252,2020-06-24 05:00:07.802,BfdGMJKwGJ,com.sec.android.app.shealth,99e50fd3-7061-facb-281e-75a2f403a2fb,1592956800000,
,8423474,,2020-06-26 05:02:50.302,2020-06-25 05:00:13.666,BfdGMJKwGJ,com.sec.android.app.shealth,ea844f89-13d9-6b25-f917-bb6176784def,1593043200000,
,66054,,2020-06-26 22:25:39.605,2020-06-26 06:00:06.711,BfdGMJKwGJ,com.sec.android.app.shealth,badee88a-cb3d-1cfe-a7c3-eda283e089c2,1593129600000,
,143664,,2020-06-27 23:22:28.278,2020-06-27 06:00:03.830,BfdGMJKwGJ,com.sec.android.app.shealth,95b7352d-9862-4c9b-4142-653ae1647e8f,1593216000000,
,0,,2020-06-28 05:00:04.658,2020-06-28 05:00:04.657,BfdGMJKwGJ,com.sec.android.app.shealth,24ddb316-6449-60c4-71cb-fa48614f6893,1593302400000,
,344064,,2020-06-29 23:31:02.208,2020-06-29 05:00:05.501,BfdGMJKwGJ,com.sec.android.app.shealth,df59524c-e679-f6a0-926a-122ee7952728,1593388800000,
,1127040,,2020-07-01 01:02:16.226,2020-06-30 05:00:05.819,BfdGMJKwGJ,com.sec.android.app.shealth,d3e68014-0bf8-92d2-3ab3-988f4fa91c7a,1593475200000,
,2646416,,2020-07-02 04:57:58.851,2020-07-01 05:00:04.823,BfdGMJKwGJ,com.sec.android.app.shealth,5fae85e6-7e41-c2b3-08cf-485c9567688f,1593561600000,
,137536,,2020-07-03 00:13:56.369,2020-07-02 07:00:12.619,BfdGMJKwGJ,com.sec.android.app.shealth,9a58b1fe-01a6-5742-d0bd-3b69f048b795,1593648000000,
,8552448,,2020-07-04 06:07:06.308,2020-07-03 07:00:09.351,BfdGMJKwGJ,com.sec.android.app.shealth,01281f9e-f043-d968-5f5c-9c1f00c2f0d6,1593734400000,
,663553,,2020-07-05 02:05:07.274,2020-07-04 07:00:04.856,BfdGMJKwGJ,com.sec.android.app.shealth,23779235-12dc-ea83-8bc2-f049d6c1dd19,1593820800000,
,0,,2020-07-05 07:00:04.725,2020-07-05 07:00:04.724,BfdGMJKwGJ,com.sec.android.app.shealth,a8dfc185-04e2-7f71-4bc6-8535dca65b54,1593907200000,
,9840128,,2020-07-10 03:12:49.266,2020-07-09 12:09:16.821,BfdGMJKwGJ,com.sec.android.app.shealth,45ca5edc-7991-42f0-9bb7-8a6c7728122d,1594252800000,
,4472832,,2020-07-11 03:16:33.332,2020-07-10 04:00:05.729,BfdGMJKwGJ,com.sec.android.app.shealth,678da610-31b3-aad4-36e4-95b6b1076f33,1594339200000,
,36,,2020-07-11 10:09:13.227,2020-07-11 05:00:14.328,BfdGMJKwGJ,com.sec.android.app.shealth,c28f27ea-0207-0a49-ab65-e7f7639a175a,1594425600000,
,5242880,,2020-07-13 04:26:02.370,2020-07-13 00:50:40.500,BfdGMJKwGJ,com.sec.android.app.shealth,b07c4d3f-0f7c-2c91-b115-4622b8000da4,1594512000000,
,2364416,,2020-07-14 03:00:07.195,2020-07-13 06:00:04.856,BfdGMJKwGJ,com.sec.android.app.shealth,8ab48baf-8784-c3e4-2c91-30bfbb4c8ab2,1594598400000,
,328,,2020-07-14 13:55:03.208,2020-07-14 06:00:05.237,BfdGMJKwGJ,com.sec.android.app.shealth,246b6212-2917-d8e2-d394-20b0d7e004d6,1594684800000,
,0,,2020-07-30 03:42:22.585,2020-07-30 03:42:22.585,BfdGMJKwGJ,com.sec.android.app.shealth,fbafbeac-0c17-bfe4-598d-49c98dc6456a,1595980800000,
,9544934,,2020-07-31 05:51:14.282,2020-07-30 06:00:05.097,BfdGMJKwGJ,com.sec.android.app.shealth,5450ebce-cc40-8b36-33de-51a46dc036c9,1596067200000,
