com.samsung.shealth.activity.goal,6305105,1
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2020-06-19 05:32:33.593,2020-06-19 05:32:33.593,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1592544753589,a2f737e0-6cf6-4d74-946a-1e1e6b9ae334,
2020-06-19 05:32:48.854,2020-06-19 05:32:48.854,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1592544768850,3d82a503-6005-4965-965b-55deede20eb5,
2020-06-19 05:33:12.430,2020-06-19 05:33:12.430,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1592544792428,8f62fd20-0cc6-4db3-b65b-a0cd086610ab,
2020-06-19 05:39:57.861,2020-06-19 05:39:57.861,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1592545197845,5920f7b3-6a90-4539-8da1-620e6dad6c2b,
2020-06-19 05:40:09.862,2020-06-19 05:40:09.862,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1592545209861,9684b4a1-6037-484e-9e69-5f18f6c4a6fa,
2020-06-19 05:40:23.572,2020-06-19 05:40:23.572,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1592545223570,8be0a9f0-1f83-45ad-9174-905cb2e78902,
2020-06-21 00:13:42.959,2020-06-21 00:13:42.959,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1592698422957,977589ab-7944-46d7-a5c9-91535fe02893,
2020-06-25 21:41:31.231,2020-06-25 21:41:31.231,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1593121291214,f1e19a59-ac14-46ce-8505-da022fb2edc3,
2020-06-28 01:31:40.904,2020-06-28 01:31:40.904,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1593307900896,65669421-7bd8-44b7-a18b-b4953cebf0f7,
2020-07-01 06:55:01.352,2020-07-01 06:55:01.352,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1593586501344,099b698c-d20d-4137-a292-a8c35e7c7789,
2020-07-01 14:39:09.134,2020-07-01 14:39:09.134,60,UTC-0700,jBfEgmLJSx,com.sec.android.app.shealth,1593614349133,c2d3f514-7a9a-4b7e-9f86-610247a11e87,
2020-07-08 19:58:15.540,2020-07-08 19:58:15.540,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1594238295534,59fa46b6-59b0-49ee-a109-22f460579d42,
2020-07-08 19:58:51.351,2020-07-08 19:58:51.351,60,UTC-0700,jBfEgmLJSx,com.sec.android.app.shealth,1594238331350,71810b1a-850c-4e73-b6a5-c106d12aa95c,
2020-07-08 20:02:02.745,2020-07-08 20:02:02.745,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1594238522743,244ead6d-6c02-4a8c-8d15-eaf881753249,
2020-07-09 02:58:19.434,2020-07-09 02:58:19.434,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1594263499433,f47a0f11-952c-4dc5-91be-7d23d43facd8,
2020-07-09 02:59:02.320,2020-07-09 02:59:02.320,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1594263542319,7e989110-80e4-4230-8fe3-08459473c31d,
